"Pág.","Mês","Ano","REMUNERAÇÃOMES","VA Funcionario 0","Seguro Vida Fun 0","Reembolso VR","Vale Ref Func 0","Hr Adic Pericul","INSS Normal 0","IRF Normal 0","Adt Norm Desc 0","DSR Adicional","Vale Ref Func 22","Hr Ext Diu 60%","Hr Ext Diu 80%","Vale Gas 0","Vale Transp Fun 0","Vale Ref Func 20","Smart 500 QC 0","Vale Transp Fun 42","Hrs Atrasos","Vale Ref Func 21","DSR","Vale Ref Func 25","Vale Transp Fun 50","Vale Transp Fun 46","Part Lucr Resul","IRF Part Result 0","Dif. Sal Diss","PLR Pago 0","Reemb Desc Inde","Dif Diss VR","13º Sal. Adto","13º. Adto Desc 0","Hr Adic Noturno","INSS 13o. Sal 0","Hr Ext Not 80%","Hr Supl Ext Not","13º Norm Recal","13º Adic Recal","13º Normal","13º Adicionais","IRF 13o. Sal 0","13º Adic Desc 0","Vale Transp Fun 40","Vale Transp Fun 70","Reemb. Despesas","Multas 0","Reemb. Ass. Méd","Vale Ref Func 23","Vale Transp Fun 86","Ferias Recebida 0","IRF Recol Fer 0","Fer Normais","Fer 1/3","Dif.Diss.Ferias","Dif Diss HE/DSR","Dif. Diss. Peri","Médias Férias","13º Adic Adto","Hr Ext Not 60%","Vale Ref Func 19","Vale Transp Fun 38","Hr Ext Diu 100%"
"1","04","2017","969,73","30,67","2,40","360,00","36,00","290,92","100,85","0,00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","05","2017","1.454,59","46,00","2,40","","","436,38","185,83","0,00","756,39","28,03","66,00","116,66","29,13","4,25","87,28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","06","2017","1.454,59","46,00","2,40","","","436,38","190,52","0,00","756,39","45,20","","156,31","24,49","4,25","","60,00","215,10","87,28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","07","2017","1.454,59","46,00","2,40","","","436,38","184,71","0,00","756,39","28,85","","125,60","12,89","4,25","","","215,13","87,28","5,87","63,00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","08","2017","1.521,60","46,00","2,51","","","456,48","174,05","","756,39","0,88","","5,75","","4,25","","","215,13","","","","50,72","75,00","91,30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","09","2017","1.521,60","46,00","2,51","","","456,48","178,33","0,00","791,23","0,57","66,00","2,88","","4,25","","","","","","","","","","91,30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","10","2017","","","","","","","","","","","","","","","","","","","","","","","","","2.819,91","0,00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","10","2017","1.567,25","50,14","2,58","","","470,18","190,14","","791,23","3,45","","13,82","","4,25","","","","","1,39","63,00","","","","94,04","0,00","","59,45","2.819,91","50,72","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","11","2017","1.567,25","48,07","2,58","33,00","","470,18","243,56","13,46","814,97","133,77","","446,75","4,32","","","72,60","208,47","","","","","","","","","","","","","57,00","764,00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","12","2017","1.567,25","48,07","2,58","66,00","","470,18","240,90","","814,97","127,85","","296,34","11,44","","","66,00","","","","","","","","","","","","","","","","764,00","6,21","155,60","0,00","208,47","4,32","749,19","","","","","","","","","","","","","","","","","","","","","","","",""
"2","12","2017","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","764,00","","149,65","","","","","1.528,07","134,77","0,00","261,00","","","","","","","","","","","","","","","","","","","",""
"2","01","2018","1.567,25","96,14","2,58","","","470,18","187,07","","814,97","6,86","72,60","34,32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","02","2018","","","","","","","","","","","","","","","","","","","","","","","","","458,42","0,00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","02","2018","1.567,25","48,07","2,58","","","470,18","193,52","0,00","814,97","18,81","","94,09","","4,32","","66,00","208,47","","","","","","","","458,42","","","458,42","","","","","","","","","","","","","","","94,04","","","","","","","","","","","","","","","","","","",""
"3","03","2018","1.567,25","48,07","2,58","33,00","","470,18","216,38","0,00","814,97","61,15","","150,15","155,60","","","","208,47","94,04","","69,30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","04","2018","1.567,25","48,07","2,58","33,00","","470,18","212,46","0,00","814,97","64,66","","124,47","134,19","","","","233,49","","","69,30","","","","","","","","","","","","","","","","","","","","","","","","94,04","","","","","","","","","","","","","","","","","",""
"3","05","2018","1.567,25","48,07","2,58","99,00","","470,18","233,79","0,00","814,97","112,06","","199,06","249,21","","94,03","","155,66","","","69,30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","06","2018","1.567,25","48,07","2,58","","","470,18","249,65","18,08","814,97","122,74","","328,94","155,66","","","66,00","","","","","","","","","","","","","","","","","","","","","","","","","","","94,04","","20,00","104,13","77,83","","","","","","","","","","","","","","",""
"3","07","2018","1.567,25","48,07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","08","2018","1.567,25","48,07","1,76","297,00","","470,18","236,77","0,00","814,97","79,09","","224,50","289,77","4,32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","104,13","","75,90","94,04","","","","","","","","","","","","",""
