"Pág.","Mês","Ano","SALARIO","INSS MES","DSR COMISSAO","DESC ASS MEDICA AMIL","REMUNERACAO VARIAVEL","VALE REFEICAO","ESC ASS MEDICA AMIL","IRRF MES","DESC ADT QUINZENAL","LICENCA PATERNIDADE","DSR COMISSÃO","IREMUNERACAO VARIAVEL","DESC DEP AM AMIL","INSS 13 SALARIO","DIF MEDIA 13 SALARIO","ASSIST MED BRA","DEP ASSIST MED BRA"
"1","09","2019","953,36","200,43","173,68","5,00","1.100,00","6,00","5,00","","","","","","","","","",""
"2","10","2019","1.300,00","339,73","288,46","5,00","1.500,00","","","63,35","520,00","","","","","","","",""
"3","11","2019","1.126,65","250,71","285,71","5,00","1.200,00","6,00","","47,33","520,00","173,36","285,71","1.200,00","5,00","","","",""
"4","12","2019","1.300,00","250,92","288,00","","1.200,00","6,00","","19,04","520,00","","","","","9,92","124,00","5,00","5,00"
"5","01","2020","1.300,00","200,70","180,00","","750,00","6,00","","","520,00","","","","","","","5,00","10,00"


"Pág.","Mês","Ano","Base / Total","Valor"
"1","09","2019","TOTAL DE PROVENTOS","2.227,04"
"1","09","2019","TOTAL DE DESCONTOS","211,43"
"1","09","2019","Líquido A RECEBER","2.015,61"
"2","10","2019","TOTAL DE PROVENTOS","3.088,46"
"2","10","2019","TOTAL DE DESCONTOS","928,08"
"2","10","2019","Líquido A RECEBER","2.160,38"
"3","11","2019","TOTAL DE PROVENTOS","2.785,72"
"3","11","2019","TOTAL DE DESCONTOS","834,04"
"3","11","2019","Líquido A RECEBER","1.951,68"
"4","12","2019","TOTAL DE PROVENTOS","2.912,00"
"4","12","2019","TOTAL DE DESCONTOS","815,88"
"4","12","2019","LÍQUIDO A RECEBER","2.096,12"
"5","01","2020","TOTAL DE PROVENTOS","2.230,00"
"5","01","2020","TOTAL DE DESCONTOS","741,70"
"5","01","2020","Líquido A RECEBER","1.488,30"
