"Data","Entrada 1","Saída 1","Entrada 2","Saída 2"
"16/12/2019","07:00","12:00","13:00","17:00"
"17/12/2019","06:59","12:00","13:00","16:59"
"18/12/2019","06:59","12:00","13:00","17:00"
"19/12/2019","07:00","12:00","13:00","16:59"
"20/12/2019","07:00","12:00","13:00","16:00"
"21/12/2019","","","",""
"22/12/2019","","","",""
"23/12/2019","07:00","12:00","13:00","17:00"
"24/12/2019","","","",""
"25/12/2019","","","",""
"26/12/2019","14:59","19:00","20:00","23:00"
"27/12/2019","15:00","19:00","20:00","23:00"
"28/12/2019","22:59","03:00","04:00","06:59"
"29/12/2019","23:00","03:00","04:00","06:59"
"30/12/2019","","","",""
"31/12/2019","","","",""
"01/01/2020","07:00","15:00","",""
"02/01/2020","06:59","11:00","12:00","15:00"
"03/01/2020","14:59","19:00","20:00","23:00"
"04/01/2020","15:00","19:00","20:00","23:00"
"05/01/2020","22:59","03:00","04:00","06:59"
"06/01/2020","23:00","03:00","04:00","06:59"
"07/01/2020","","","",""
"08/01/2020","","","",""
"09/01/2020","07:00","11:00","12:00","15:00"
"10/01/2020","07:00","11:00","12:00","15:00"
"11/01/2020","14:59","19:00","20:00","23:00"
"12/01/2020","15:00","19:00","20:00","23:00"
"13/01/2020","22:59","03:00","04:00","06:59"
"14/01/2020","23:00","03:00","04:00","06:59"
"15/01/2020","","","",""
"16/01/2020","","","",""
"17/01/2020","06:59","11:00","12:00","15:00"
"18/01/2020","07:00","11:00","12:00","15:00"
"19/01/2020","14:59","19:00","20:00","23:00"
"20/01/2020","15:00","19:00","20:00","23:00"
"21/01/2020","22:59","03:00","04:00","06:59"
"22/01/2020","23:00","03:00","04:00","06:59"
"23/01/2020","","","",""
"24/01/2020","","","",""
"25/01/2020","07:00","11:00","12:00","15:00"
"26/01/2020","07:00","11:00","12:00","14:59"
"27/01/2020","14:56","19:00","20:00","23:00"
"28/01/2020","14:55","19:00","20:00","23:24"
"29/01/2020","22:55","03:00","04:00","07:15"
"30/01/2020","22:56","03:00","04:00","07:20"
"31/01/2020","","","",""
"01/02/2020","","","",""
"02/02/2020","06:56","11:00","12:00","15:12"
"03/02/2020","06:56","11:00","12:00","15:12"
"04/02/2020","14:55","19:00","20:00","23:21"
"05/02/2020","14:55","19:00","20:00","23:20"
"06/02/2020","22:55","03:00","04:00","07:02"
"07/02/2020","22:56","03:00","04:00","07:28"
"08/02/2020","","","",""
"09/02/2020","","","",""
"10/02/2020","06:57","11:00","12:00","15:20"
"11/02/2020","07:00","11:00","12:00","15:17"
"12/02/2020","14:56","19:00","20:00","23:00"
"13/02/2020","15:00","19:00","20:00","23:00"
"14/02/2020","22:56","03:00","04:00","07:21"
"15/02/2020","22:55","03:00","04:00","07:02"
"16/02/2020","","","",""
"17/02/2020","","","",""
"18/02/2020","06:56","11:00","12:00","15:58"
"19/02/2020","06:56","11:00","12:00","15:00"
"20/02/2020","14:59","19:00","20:00","23:00"
"21/02/2020","14:55","19:00","20:00","23:00"
"22/02/2020","22:59","03:00","04:00","06:59"
"23/02/2020","23:00","03:00","04:00","06:59"
"24/02/2020","","","",""
"25/02/2020","","","",""
"26/02/2020","06:55","11:00","12:00","15:11"
"27/02/2020","06:56","11:00","12:00","15:05"
"28/02/2020","14:56","19:00","20:00","23:05"
"29/02/2020","14:56","19:00","20:00","23:11"
"01/03/2020","22:55","03:00","04:00","07:05"
"02/03/2020","22:56","03:00","04:00","07:16"
"03/03/2020","","","",""
"04/03/2020","","","",""
"05/03/2020","06:55","11:00","12:00","15:24"
"06/03/2020","06:59","11:00","12:00","15:02"
"07/03/2020","14:59","19:00","20:00","23:28"
"08/03/2020","14:55","19:00","20:00","23:21"
"09/03/2020","22:55","03:00","04:00","07:00"
"10/03/2020","22:55","03:00","04:00","06:58"
"11/03/2020","","","",""
"12/03/2020","","","",""
"13/03/2020","06:55","11:00","12:00","15:01"
"14/03/2020","06:56","11:00","12:00","15:01"
"15/03/2020","","","",""
"16/03/2020","14:55","19:00","20:00","23:01"
"17/03/2020","14:56","18:00","19:00","22:58"
"18/03/2020","14:56","19:00","20:00","23:09"
"19/03/2020","14:56","19:00","20:00","22:58"
"20/03/2020","14:57","19:00","20:00","23:01"
"21/03/2020","","","",""
"22/03/2020","","","",""
"23/03/2020","06:56","11:00","12:00","15:00"
"24/03/2020","07:00","11:00","12:00","15:00"
"25/03/2020","07:00","11:00","12:00","15:00"
"26/03/2020","07:00","11:00","12:00","15:00"
"27/03/2020","07:00","11:00","12:00","15:00"
"28/03/2020","07:00","11:00","12:00","15:00"
"29/03/2020","","","",""
"30/03/2020","15:00","19:00","20:00","23:00"
"31/03/2020","15:00","18:00","19:00","23:00"
"01/04/2020","15:00","19:00","20:00","23:00"
"02/04/2020","15:00","19:00","20:00","23:00"
"03/04/2020","15:00","19:00","20:00","23:00"
"04/04/2020","","","",""
"05/04/2020","","","",""
"06/04/2020","07:00","11:00","12:00","15:00"
"07/04/2020","07:00","11:00","12:00","15:00"
"08/04/2020","07:00","11:00","12:00","15:00"
"09/04/2020","07:00","11:00","12:00","15:00"
"10/04/2020","07:00","15:00","",""
"11/04/2020","07:00","11:00","12:00","15:00"
"12/04/2020","","","",""
"13/04/2020","15:00","19:00","20:00","23:00"
"14/04/2020","15:00","18:00","19:00","23:00"
"15/04/2020","15:00","19:00","20:00","23:00"
"16/04/2020","15:00","19:00","20:00","23:00"
"17/04/2020","15:00","19:00","20:00","23:00"
"18/04/2020","","","",""
"19/04/2020","","","",""
"20/04/2020","07:00","11:00","12:00","15:00"
"21/04/2020","","","",""
"22/04/2020","07:00","11:00","12:00","15:00"
"23/04/2020","07:00","11:00","12:00","15:00"
"24/04/2020","07:00","11:00","12:00","15:00"
