"Data","Entrada 1","Saída 1"
"02/??/??","",""
"03/??/??","",""
"23/??/??","",""
"24/??/??","01:24",""
"25/??/??","19:59",""
"02/??/??","",""
"19/??/??","19:46",""
"21/??/??","14:07","16:50"
"22/??/??","",""
"23/??/??","15:24",""
"27/??/??","",""
"02/??/??","19:38","19:49"
"04/??/??","",""
"08/??/??","",""
"20/??/??","14:49","15:48"
"03/??/??","",""
"07/??/??","",""
"08/??/??","",""
"20/??/??","",""
"22/??/??","",""
"02/??/??","",""
"03/??/??","",""
"09/??/??","19:06",""
"23/??/??","",""
"25/??/??","00:58",""
